feature,auc,auc_directed,n_scored,missing_rate,missing_indicator_auc,flag_investigate_high_auc,flag_missingness_signal
dev_distinct_cards_1200s,0.7977324002491694,0.7977324002491694,31873,0.0,0.5,True,False
dev_distinct_bins_1200s,0.7954084437442196,0.7954084437442196,31873,0.0,0.5,True,False
device_distinct_merchants_300s,0.7951613635411053,0.7951613635411053,31873,0.0,0.5,True,False
vel_device_count_300s,0.7951613635411053,0.7951613635411053,31873,0.0,0.5,True,False
dev_distinct_cards_300s,0.7951430509629033,0.7951430509629033,31873,0.0,0.5,True,False
dev_distinct_bins_300s,0.7946174799685031,0.7946174799685031,31873,0.0,0.5,True,False
ip_merchant_spread_1200s,0.7866876310272537,0.7866876310272537,1704,0.946537821980987,0.3322560774437783,True,True
ip_merchant_entropy_1200s,0.7851108764519535,0.7851108764519535,1697,0.9467574436043046,0.3321387537645077,True,True
device_distinct_merchants_120s,0.7740840787455973,0.7740840787455973,31873,0.0,0.5,True,False
vel_device_count_120s,0.7740840787455973,0.7740840787455973,31873,0.0,0.5,True,False
dev_distinct_cards_120s,0.7740768522573381,0.7740768522573381,31873,0.0,0.5,True,False
dev_distinct_bins_120s,0.7739012485926414,0.7739012485926414,31873,0.0,0.5,True,False
amt_card_median_30s,0.226890756302521,0.773109243697479,482,0.9848774825087064,0.38349105800912353,True,False
amt_card_mean_30s,0.22829131652661064,0.7717086834733894,482,0.9848774825087064,0.38349105800912353,True,False
ip_distinct_merchants_300s,0.7715066695887958,0.7715066695887958,31873,0.0,0.5,True,False
vel_ip_count_300s,0.7712090696632155,0.7712090696632155,31873,0.0,0.5,True,False
ip_distinct_bins_300s,0.7676509767781399,0.7676509767781399,31873,0.0,0.5,True,False
ip_distinct_merchants_120s,0.767621479566973,0.767621479566973,31873,0.0,0.5,True,False
vel_ip_count_120s,0.7675460120361761,0.7675460120361761,31873,0.0,0.5,True,False
ip_distinct_merchants_1200s,0.767363231154731,0.767363231154731,31873,0.0,0.5,True,False
vel_ip_count_1200s,0.7664925707102022,0.7664925707102022,31873,0.0,0.5,True,False
ip_distinct_bins_120s,0.7658771038442421,0.7658771038442421,31873,0.0,0.5,True,False
ip_distinct_bins_1200s,0.761683621978983,0.761683621978983,31873,0.0,0.5,True,False
ip_distinct_merchants_30s,0.7435250583079059,0.7435250583079059,31873,0.0,0.5,False,False
vel_ip_count_30s,0.7435144649330716,0.7435144649330716,31873,0.0,0.5,False,False
ip_distinct_bins_30s,0.7431440006548512,0.7431440006548512,31873,0.0,0.5,False,False
device_distinct_merchants_30s,0.7351577210625461,0.7351577210625461,31873,0.0,0.5,False,False
vel_device_count_30s,0.7351577210625461,0.7351577210625461,31873,0.0,0.5,False,False
dev_distinct_cards_30s,0.735155996559666,0.735155996559666,31873,0.0,0.5,False,False
dev_distinct_bins_30s,0.7351237483558097,0.7351237483558097,31873,0.0,0.5,False,False
amt_card_median_120s,0.2715538476697212,0.7284461523302788,631,0.9802026793838045,0.35431802053610295,False,False
amt_card_mean_120s,0.2721943048576214,0.7278056951423786,631,0.9802026793838045,0.35431802053610295,False,False
amt_device_median_120s,0.27460434712215653,0.7253956528778435,1211,0.9620054591660653,0.22636468617529437,False,True
amt_device_mean_120s,0.2865245284546264,0.7134754715453736,1211,0.9620054591660653,0.22636468617529437,False,True
dec_merchant_rate_300s,0.7,0.7,858,0.9730806638847928,0.5135953155406681,False,False
amt_card_median_300s,0.3397438055480743,0.6602561944519256,726,0.9772221002102093,0.3467494237532567,False,True
vel_card_count_1200s,0.6599199433206817,0.6599199433206817,31873,0.0,0.5,False,False
card_distinct_merchants_1200s,0.6599199433206817,0.6599199433206817,31873,0.0,0.5,False,False
amt_card_mean_300s,0.34044236466469163,0.6595576353353083,726,0.9772221002102093,0.3467494237532567,False,True
amt_device_median_300s,0.3456624038088911,0.6543375961911089,1438,0.9548834436670536,0.20608938555009804,False,True
card_distinct_merchants_300s,0.6533339436431145,0.6533339436431145,31873,0.0,0.5,False,False
vel_card_count_300s,0.6533339436431145,0.6533339436431145,31873,0.0,0.5,False,False
amt_card_median_1200s,0.35148371791382305,0.648516282086177,1118,0.964923289304427,0.34049436439028347,False,True
amt_card_mean_1200s,0.3520146372443271,0.6479853627556729,1118,0.964923289304427,0.34049436439028347,False,True
vel_card_count_120s,0.6457107376024009,0.6457107376024009,31873,0.0,0.5,False,False
card_distinct_merchants_120s,0.6457107376024009,0.6457107376024009,31873,0.0,0.5,False,False
amt_device_mean_300s,0.35738433999520197,0.6426156600047981,1438,0.9548834436670536,0.20608938555009804,False,True
card_distinct_merchants_30s,0.6165129329832559,0.6165129329832559,31873,0.0,0.5,False,False
vel_card_count_30s,0.6165129329832559,0.6165129329832559,31873,0.0,0.5,False,False
amt_device_median_1200s,0.3845648541993656,0.6154351458006344,2073,0.9349606249803909,0.20730973411910225,False,True
amt_device_mean_1200s,0.39789044676667423,0.6021095532333258,2073,0.9349606249803909,0.20730973411910225,False,True
dec_merchant_rate_120s,0.600328947368421,0.600328947368421,762,0.9760926175760047,0.5122480435596946,False,False
amt_device_dev_30s,0.595015113225311,0.595015113225311,982,0.9691902237003106,0.26492815918087886,False,True
ip_merchant_spread_300s,0.594626168224299,0.594626168224299,1155,0.9637624321526057,0.32907453386851393,False,True
dev_reuse_prior_total,0.5819322568625032,0.5819322568625032,31873,0.0,0.5,False,False
ip_merchant_spread_120s,0.5748031496062992,0.5748031496062992,843,0.9735512816490447,0.32672437313170644,False,True
ip_merchant_entropy_300s,0.571604938271605,0.571604938271605,1132,0.9644840460577918,0.328689041779482,False,True
ip_merchant_spread_30s,0.5588235294117647,0.5588235294117647,620,0.9805477990775892,0.3525632238888256,False,False
ip_merchant_entropy_120s,0.5462184873949579,0.5462184873949579,835,0.973802277789979,0.3265902889268258,False,True
amt_card_dev_30s,0.4541316526610644,0.5458683473389356,482,0.9848774825087064,0.38349105800912353,False,False
dec_merchant_rate_1200s,0.4544865200805795,0.5455134799194206,3898,0.8777021303297462,0.5124613563540343,False,False
amt_device_dev_120s,0.5377641058852101,0.5377641058852101,1211,0.9620054591660653,0.22636468617529437,False,True
device_merchant_spread_1200s,0.5277777777777778,0.5277777777777778,791,0.9751827565651178,0.31093373257710105,False,True
amt_card_dev_1200s,0.5214938322630941,0.5214938322630941,1118,0.964923289304427,0.34049436439028347,False,True
mer_txn_count_120s,0.4807583089176573,0.5192416910823427,31873,0.0,0.5,False,False
mer_txn_count_300s,0.481762848269105,0.518237151730895,31873,0.0,0.5,False,False
mer_txn_count_1200s,0.4870330768849736,0.5129669231150265,31873,0.0,0.5,False,False
amt_device_dev_300s,0.511365775341859,0.511365775341859,1438,0.9548834436670536,0.20608938555009804,False,True
amt_card_dev_120s,0.511084835944428,0.511084835944428,631,0.9802026793838045,0.35431802053610295,False,False
amt_device_dev_1200s,0.4899194999231758,0.5100805000768243,2073,0.9349606249803909,0.20730973411910225,False,True
merchant_related_devices_1200s,0.5098216433717533,0.5098216433717533,31873,0.0,0.5,False,False
mer_txn_count_30s,0.4902965754066312,0.5097034245933688,31873,0.0,0.5,False,False
merchant_related_ips_300s,0.4944210032494233,0.5055789967505767,31873,0.0,0.5,False,False
merchant_related_devices_300s,0.49613181686134167,0.5038681831386583,31873,0.0,0.5,False,False
merchant_related_ips_1200s,0.49688924316200117,0.5031107568379989,31873,0.0,0.5,False,False
merchant_related_ips_120s,0.4988229857247951,0.5011770142752049,31873,0.0,0.5,False,False
merchant_related_devices_120s,0.49955656461419945,0.5004434353858005,31873,0.0,0.5,False,False
merchant_related_devices_30s,0.5003326812413109,0.5003326812413109,31873,0.0,0.5,False,False
merchant_related_ips_30s,0.49980277435395526,0.5001972256460447,31873,0.0,0.5,False,False
amt_card_dev_300s,0.49991583625100994,0.5000841637489901,726,0.9772221002102093,0.3467494237532567,False,True
ip_merchant_entropy_30s,0.5,0.5,618,0.9806105481128228,0.35252970283760543,False,False
card_merchant_spread_1200s,0.5,0.5,118,0.9962978069212186,0.47135434014344446,False,False
device_merchant_entropy_1200s,0.5,0.5,790,0.9752141310827346,0.31091697205149094,False,True
card_merchant_entropy_1200s,0.5,0.5,118,0.9962978069212186,0.47135434014344446,False,False
amt_card_std_30s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_z_30s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_cv_30s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_device_std_30s,,,268,0.9915916292786998,0.43434590886820185,False,False
amt_device_z_30s,,,268,0.9915916292786998,0.43434590886820185,False,False
amt_device_cv_30s,,,268,0.9915916292786998,0.43434590886820185,False,False
amt_card_low_value_ratio_30s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_std_120s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_z_120s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_cv_120s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_device_std_120s,,,344,0.9892071659398237,0.41572758451739344,False,False
amt_device_z_120s,,,344,0.9892071659398237,0.41572758451739344,False,False
amt_device_cv_120s,,,344,0.9892071659398237,0.41572758451739344,False,False
amt_card_low_value_ratio_120s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_std_300s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_z_300s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_cv_300s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_device_std_300s,,,362,0.9886424246227214,0.41131798138167563,False,False
amt_device_z_300s,,,362,0.9886424246227214,0.41131798138167563,False,False
amt_device_cv_300s,,,362,0.9886424246227214,0.41131798138167563,False,False
amt_card_low_value_ratio_300s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_std_1200s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_z_1200s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_card_cv_1200s,,,4,0.9998745019295329,0.4990200881920627,False,False
amt_device_std_1200s,,,445,0.9860383396605277,0.390984811366977,False,False
amt_device_z_1200s,,,445,0.9860383396605277,0.390984811366977,False,False
amt_device_cv_1200s,,,445,0.9860383396605277,0.390984811366977,False,False
amt_card_low_value_ratio_1200s,,,4,0.9998745019295329,0.4990200881920627,False,False
card_merchant_spread_30s,,,81,0.9974586640730398,0.48015678588926997,False,False
card_merchant_entropy_30s,,,81,0.9974586640730398,0.48015678588926997,False,False
device_merchant_spread_30s,,,498,0.9843754902268378,0.3780009799118079,False,False
device_merchant_entropy_30s,,,498,0.9843754902268378,0.3780009799118079,False,False
card_merchant_spread_120s,,,103,0.9967684246854704,0.4747672709456149,False,False
card_merchant_entropy_120s,,,103,0.9967684246854704,0.4747672709456149,False,False
device_merchant_spread_120s,,,621,0.9805164245599723,0.3478686918177364,False,True
device_merchant_entropy_120s,,,621,0.9805164245599723,0.3478686918177364,False,True
card_merchant_spread_300s,,,108,0.9966115520973865,0.4735423811856933,False,False
card_merchant_entropy_300s,,,108,0.9966115520973865,0.4735423811856933,False,False
device_merchant_spread_300s,,,683,0.9785712044677313,0.33268005879470847,False,True
device_merchant_entropy_300s,,,683,0.9785712044677313,0.33268005879470847,False,True
dec_card_rate_30s,,,4,0.9998745019295329,0.4990200881920627,False,False
dec_device_rate_30s,,,268,0.9915916292786998,0.43434590886820185,False,False
dec_merchant_rate_30s,,,310,0.9902738995387946,0.5051957629391258,False,False
dec_card_rate_120s,,,4,0.9998745019295329,0.4990200881920627,False,False
dec_device_rate_120s,,,344,0.9892071659398237,0.41572758451739344,False,False
dec_card_rate_300s,,,4,0.9998745019295329,0.4990200881920627,False,False
dec_device_rate_300s,,,362,0.9886424246227214,0.41131798138167563,False,False
dec_card_rate_1200s,,,4,0.9998745019295329,0.4990200881920627,False,False
dec_device_rate_1200s,,,445,0.9860383396605277,0.390984811366977,False,False
